AGE GROUP (YEARS),Cancer,NUM_WOMEN,Period,Screen,STATE
40–44,Invasive,13,2009,1,NSW
40–44,Invasive,27,2009,1,QLD
40–44,Invasive,4,2009,1,SA
40–44,Invasive,7,2009,1,VIC
40–44,Invasive,9,2009,1,WA
40–44,Invasive,0,2009,2+,ACT
40–44,Invasive,0,2009,2+,NT
40–44,Invasive,15,2009,2+,QLD
40–44,Invasive,0,2009,2+,SA
40–44,Invasive,3,2009,2+,TAS
40–44,Invasive,0,2009,2+,VIC
40–44,Invasive,4,2009,2+,WA
40–44,Invasive,1,2010,1,ACT
40–44,Invasive,16,2010,1,NSW
40–44,Invasive,0,2010,1,NT
40–44,Invasive,26,2010,1,QLD
40–44,Invasive,2,2010,1,SA
40–44,Invasive,4,2010,1,TAS
40–44,Invasive,7,2010,1,VIC
40–44,Invasive,8,2010,1,WA
40–44,Invasive,0,2010,2+,ACT
40–44,Invasive,1,2010,2+,NSW
40–44,Invasive,1,2010,2+,NT
40–44,Invasive,15,2010,2+,QLD
40–44,Invasive,4,2010,2+,SA
40–44,Invasive,2,2010,2+,TAS
40–44,Invasive,3,2010,2+,VIC
40–44,Invasive,4,2010,2+,WA
40–44,Invasive,0,2011,1,ACT
40–44,Invasive,18,2011,1,NSW
40–44,Invasive,0,2011,1,NT
40–44,Invasive,25,2011,1,QLD
40–44,Invasive,1,2011,1,SA
40–44,Invasive,6,2011,1,TAS
40–44,Invasive,11,2011,1,VIC
40–44,Invasive,7,2011,1,WA
40–44,Invasive,0,2011,2+,ACT
40–44,Invasive,2,2011,2+,NSW
40–44,Invasive,0,2011,2+,NT
40–44,Invasive,10,2011,2+,QLD
40–44,Invasive,0,2011,2+,SA
40–44,Invasive,2,2011,2+,TAS
40–44,Invasive,3,2011,2+,VIC
40–44,Invasive,3,2011,2+,WA
40–44,Invasive,3,2012,1,ACT
40–44,Invasive,16,2012,1,NSW
40–44,Invasive,0,2012,1,NT
40–44,Invasive,21,2012,1,QLD
40–44,Invasive,1,2012,1,SA
40–44,Invasive,4,2012,1,TAS
40–44,Invasive,20,2012,1,VIC
40–44,Invasive,9,2012,1,WA
