AGE GROUP (YEARS),Period,STATE,Cancer,NUM_WOMEN
<20,1998–2002,ACT,Invasive,0
<20,1998–2002,NT,Invasive,0
<20,1998–2002,SA,Invasive,0
<20,1998–2002,TAS,Invasive,0
<20,2003–2007,ACT,Invasive,0
<20,2003–2007,NSW,Invasive,0
<20,2003–2007,NT,Invasive,0
<20,2003–2007,SA,Invasive,0
<20,2003–2007,TAS,Invasive,0
<20,2003–2007,VIC,Invasive,0
<20,2005–2009,ACT,Invasive,0
<20,2005–2009,NT,Invasive,0
<20,2005–2009,SA,Invasive,0
<20,2005–2009,VIC,Invasive,0
<20,2006–2010,ACT,Invasive,0
<20,2006–2010,NT,Invasive,0
<20,2006–2010,SA,Invasive,0
<20,2006–2010,TAS,Invasive,0
<20,2006–2010,VIC,Invasive,0
<20,2006–2010,WA,Invasive,0
<20,2008–2012,QLD,Invasive,0
<20,2008–2012,VIC,Invasive,0
<20,2008–2012,WA,Invasive,0
<20,2009–2013,ACT,Invasive,0
<20,2009–2013,NT,Invasive,0
<20,2009–2013,QLD,Invasive,0
<20,2009–2013,WA,Invasive,0
<20,2010–2014,ACT,Invasive,0
<20,2010–2014,NT,Invasive,0
<20,2010–2014,TAS,Invasive,0
<20,2010–2014,WA,Invasive,0
<30,1999–2003,NSW,Invasive,91
<30,1999–2003,QLD,Invasive,48
<30,1999–2003,SA,Invasive,20
<30,1999–2003,TAS,Invasive,1
<30,1999–2003,VIC,Invasive,94
<30,1999–2003,WA,Invasive,29
<30,2004–2008,NSW,Invasive,106
<30,2004–2008,QLD,Invasive,56
<30,2004–2008,SA,Invasive,24
<30,2004–2008,TAS,Invasive,6
<30,2004–2008,VIC,Invasive,94
<30,2004–2008,WA,Invasive,28
20–24,1998–2002,ACT,Invasive,0
20–24,1998–2002,NSW,Invasive,20
20–24,1998–2002,NT,Invasive,0
20–24,1998–2002,QLD,Invasive,6
20–24,1998–2002,SA,Invasive,5
20–24,1998–2002,TAS,Invasive,0
20–24,1998–2002,VIC,Invasive,10
20–24,1998–2002,WA,Invasive,6
