AGE GROUP (YEARS),Cancer,NUM_WOMEN,Period,Screen,STATE
40–44,DCIS,1,2015,1,ACT
40–44,DCIS,4,2015,1,NSW
40–44,DCIS,0,2015,1,NT
40–44,DCIS,15,2015,1,QLD
40–44,DCIS,1,2015,1,SA
40–44,DCIS,3,2015,1,TAS
40–44,DCIS,10,2015,1,VIC
40–44,DCIS,5,2015,1,WA
40–44,DCIS,0,2015,2+,ACT
40–44,DCIS,3,2015,2+,NSW
40–44,DCIS,0,2015,2+,NT
40–44,DCIS,6,2015,2+,QLD
40–44,DCIS,4,2015,2+,SA
40–44,DCIS,0,2015,2+,TAS
40–44,DCIS,2,2015,2+,VIC
40–44,DCIS,0,2015,2+,WA
40–44,DCIS,0,2016,1,ACT
40–44,DCIS,6,2016,1,NSW
40–44,DCIS,0,2016,1,NT
40–44,DCIS,10,2016,1,QLD
40–44,DCIS,2,2016,1,SA
40–44,DCIS,0,2016,1,TAS
40–44,DCIS,9,2016,1,VIC
40–44,DCIS,4,2016,1,WA
40–44,DCIS,1,2016,2+,ACT
40–44,DCIS,2,2016,2+,NSW
40–44,DCIS,0,2016,2+,NT
40–44,DCIS,8,2016,2+,QLD
40–44,DCIS,2,2016,2+,SA
40–44,DCIS,3,2016,2+,TAS
40–44,DCIS,2,2016,2+,VIC
40–44,DCIS,0,2016,2+,WA
40–44,DCIS,0,2017,1,ACT
40–44,DCIS,4,2017,1,NSW
40–44,DCIS,0,2017,1,NT
40–44,DCIS,7,2017,1,QLD
40–44,DCIS,2,2017,1,SA
40–44,DCIS,3,2017,1,TAS
40–44,DCIS,7,2017,1,VIC
40–44,DCIS,1,2017,1,WA
40–44,DCIS,0,2017,2+,ACT
40–44,DCIS,1,2017,2+,NSW
40–44,DCIS,0,2017,2+,NT
40–44,DCIS,8,2017,2+,QLD
40–44,DCIS,1,2017,2+,SA
40–44,DCIS,3,2017,2+,TAS
40–44,DCIS,2,2017,2+,VIC
40–44,DCIS,2,2017,2+,WA
40–49,DCIS,10,2009,1,NSW
40–49,DCIS,19,2009,1,QLD
40–49,DCIS,4,2009,1,SA
40–49,DCIS,14,2009,1,VIC
40–49,DCIS,11,2009,1,WA
40–49,DCIS,0,2009,2+,ACT
40–49,DCIS,7,2009,2+,NSW
40–49,DCIS,0,2009,2+,NT
40–49,DCIS,28,2009,2+,QLD
40–49,DCIS,5,2009,2+,SA
40–49,DCIS,7,2009,2+,VIC
40–49,DCIS,13,2009,2+,WA
40–49,DCIS,2,2010,1,ACT
40–49,DCIS,9,2010,1,NSW
40–49,DCIS,0,2010,1,NT
40–49,DCIS,24,2010,1,QLD
40–49,DCIS,3,2010,1,SA
40–49,DCIS,1,2010,1,TAS
40–49,DCIS,13,2010,1,VIC
40–49,DCIS,7,2010,1,WA
40–49,DCIS,2,2010,2+,ACT
40–49,DCIS,8,2010,2+,NSW
40–49,DCIS,0,2010,2+,NT
40–49,DCIS,35,2010,2+,QLD
40–49,DCIS,4,2010,2+,SA
40–49,DCIS,1,2010,2+,TAS
40–49,DCIS,2,2010,2+,VIC
40–49,DCIS,6,2010,2+,WA
40–49,DCIS,1,2011,1,ACT
40–49,DCIS,19,2011,1,NSW
40–49,DCIS,0,2011,1,NT
40–49,DCIS,19,2011,1,QLD
40–49,DCIS,3,2011,1,SA
40–49,DCIS,5,2011,1,TAS
40–49,DCIS,11,2011,1,VIC
40–49,DCIS,7,2011,1,WA
40–49,DCIS,0,2011,2+,ACT
40–49,DCIS,10,2011,2+,NSW
40–49,DCIS,0,2011,2+,NT
40–49,DCIS,31,2011,2+,QLD
40–49,DCIS,5,2011,2+,SA
40–49,DCIS,2,2011,2+,TAS
40–49,DCIS,5,2011,2+,VIC
40–49,DCIS,9,2011,2+,WA
40–49,DCIS,2,2012,1,ACT
40–49,DCIS,15,2012,1,NSW
40–49,DCIS,0,2012,1,NT
40–49,DCIS,19,2012,1,QLD
40–49,DCIS,7,2012,1,SA
40–49,DCIS,5,2012,1,TAS
40–49,DCIS,18,2012,1,VIC
40–49,DCIS,11,2012,1,WA
40–49,DCIS,1,2012,2+,ACT
40–49,DCIS,6,2012,2+,NSW
40–49,DCIS,0,2012,2+,NT
40–49,DCIS,19,2012,2+,QLD
40–49,DCIS,0,2012,2+,SA
40–49,DCIS,6,2012,2+,TAS
40–49,DCIS,12,2012,2+,VIC
40–49,DCIS,6,2012,2+,WA
40–49,DCIS,1,2013,1,ACT
40–49,DCIS,22,2013,1,NSW
40–49,DCIS,0,2013,1,NT
40–49,DCIS,21,2013,1,QLD
40–49,DCIS,1,2013,1,SA
40–49,DCIS,3,2013,1,TAS
40–49,DCIS,30,2013,1,VIC
40–49,DCIS,14,2013,1,WA
40–49,DCIS,1,2013,2+,ACT
40–49,DCIS,17,2013,2+,NSW
40–49,DCIS,0,2013,2+,NT
40–49,DCIS,28,2013,2+,QLD
40–49,DCIS,3,2013,2+,SA
40–49,DCIS,4,2013,2+,TAS
40–49,DCIS,5,2013,2+,VIC
40–49,DCIS,5,2013,2+,WA
40–49,DCIS,1,2014,1,ACT
40–49,DCIS,32,2014,1,NSW
40–49,DCIS,2,2014,1,NT
40–49,DCIS,23,2014,1,QLD
40–49,DCIS,3,2014,1,SA
40–49,DCIS,4,2014,1,TAS
40–49,DCIS,32,2014,1,VIC
40–49,DCIS,14,2014,1,WA
40–49,DCIS,1,2014,2+,ACT
40–49,DCIS,8,2014,2+,NSW
40–49,DCIS,0,2014,2+,NT
40–49,DCIS,36,2014,2+,QLD
40–49,DCIS,7,2014,2+,SA
40–49,DCIS,8,2014,2+,TAS
40–49,DCIS,8,2014,2+,VIC
40–49,DCIS,4,2014,2+,WA
45–49,DCIS,2,2015,1,ACT
45–49,DCIS,7,2015,1,NSW
45–49,DCIS,0,2015,1,NT
45–49,DCIS,12,2015,1,QLD
45–49,DCIS,2,2015,1,SA
45–49,DCIS,1,2015,1,TAS
