AGE GROUP (YEARS),Period,NUM_WOMEN,STATE
40–44,2008–2009,834,ACT
40–44,2008–2009,15835,NSW
40–44,2008–2009,267,NT
40–44,2008–2009,38062,QLD
40–44,2008–2009,5611,SA
40–44,2008–2009,3930,TAS
40–44,2008–2009,9803,VIC
40–44,2008–2009,8625,WA
40–44,2009–2010,904,ACT
40–44,2009–2010,15215,NSW
40–44,2009–2010,249,NT
40–44,2009–2010,36079,QLD
40–44,2009–2010,5085,SA
40–44,2009–2010,3912,TAS
40–44,2009–2010,9602,VIC
40–44,2009–2010,8432,WA
40–44,2010–2011,967,ACT
40–44,2010–2011,14340,NSW
40–44,2010–2011,229,NT
40–44,2010–2011,34074,QLD
40–44,2010–2011,4867,SA
40–44,2010–2011,3903,TAS
40–44,2010–2011,10063,VIC
40–44,2010–2011,8338,WA
40–44,2011–2012,1178,ACT
40–44,2011–2012,15630,NSW
40–44,2011–2012,217,NT
40–44,2011–2012,34220,QLD
40–44,2011–2012,5188,SA
40–44,2011–2012,3990,TAS
40–44,2011–2012,12978,VIC
40–44,2011–2012,8841,WA
40–44,2012–2013,1526,ACT
40–44,2012–2013,17956,NSW
40–44,2012–2013,762,NT
40–44,2012–2013,36843,QLD
40–44,2012–2013,5605,SA
40–44,2012–2013,4318,TAS
40–44,2012–2013,18832,VIC
40–44,2012–2013,10120,WA
40–44,2013–2014,1775,ACT
40–44,2013–2014,18464,NSW
40–44,2013–2014,947,NT
40–44,2013–2014,38568,QLD
40–44,2013–2014,5603,SA
40–44,2013–2014,4343,TAS
40–44,2013–2014,20754,VIC
40–44,2013–2014,10437,WA
40–44,2014–2015,1634,ACT
40–44,2014–2015,16956,NSW
40–44,2014–2015,662,NT
40–44,2014–2015,37661,QLD
40–44,2014–2015,5410,SA
40–44,2014–2015,4140,TAS
40–44,2014–2015,17430,VIC
40–44,2014–2015,10153,WA
40–44,2015–2016,1511,ACT
40–44,2015–2016,16621,NSW
40–44,2015–2016,581,NT
40–44,2015–2016,35585,QLD
40–44,2015–2016,5347,SA
40–44,2015–2016,4026,TAS
40–44,2015–2016,14449,VIC
40–44,2015–2016,10111,WA
40–44,2016-2017,1595,ACT
40–44,2016-2017,16951,NSW
40–44,2016-2017,404,NT
40–44,2016-2017,33202,QLD
40–44,2016-2017,5391,SA
40–44,2016-2017,3787,TAS
40–44,2016-2017,13608,VIC
40–44,2016-2017,9366,WA
45–49,2008–2009,1358,ACT
45–49,2008–2009,29105,NSW
45–49,2008–2009,945,NT
45–49,2008–2009,60189,QLD
45–49,2008–2009,11791,SA
45–49,2008–2009,6822,TAS
45–49,2008–2009,18802,VIC
45–49,2008–2009,17382,WA
45–49,2009–2010,1429,ACT
45–49,2009–2010,27431,NSW
45–49,2009–2010,873,NT
45–49,2009–2010,59437,QLD
45–49,2009–2010,11255,SA
45–49,2009–2010,7048,TAS
45–49,2009–2010,19063,VIC
45–49,2009–2010,17670,WA
45–49,2010–2011,1536,ACT
45–49,2010–2011,25178,NSW
45–49,2010–2011,792,NT
45–49,2010–2011,57349,QLD
45–49,2010–2011,10795,SA
45–49,2010–2011,6791,TAS
45–49,2010–2011,20553,VIC
45–49,2010–2011,17551,WA
45–49,2011–2012,1744,ACT
45–49,2011–2012,25010,NSW
45–49,2011–2012,761,NT
45–49,2011–2012,56176,QLD
45–49,2011–2012,10705,SA
45–49,2011–2012,6683,TAS
45–49,2011–2012,25012,VIC
45–49,2011–2012,18144,WA
45–49,2012–2013,2177,ACT
45–49,2012–2013,26499,NSW
45–49,2012–2013,1237,NT
45–49,2012–2013,56458,QLD
45–49,2012–2013,10282,SA
45–49,2012–2013,6759,TAS
45–49,2012–2013,28980,VIC
45–49,2012–2013,18832,WA
45–49,2013–2014,2356,ACT
45–49,2013–2014,26122,NSW
45–49,2013–2014,1365,NT
45–49,2013–2014,56729,QLD
45–49,2013–2014,10518,SA
45–49,2013–2014,6363,TAS
45–49,2013–2014,27785,VIC
45–49,2013–2014,18270,WA
45–49,2014–2015,2063,ACT
45–49,2014–2015,24415,NSW
45–49,2014–2015,1093,NT
45–49,2014–2015,56234,QLD
45–49,2014–2015,11182,SA
45–49,2014–2015,6198,TAS
45–49,2014–2015,25221,VIC
45–49,2014–2015,18330,WA
45–49,2015–2016,2104,ACT
45–49,2015–2016,25348,NSW
45–49,2015–2016,1080,NT
45–49,2015–2016,56091,QLD
45–49,2015–2016,11474,SA
45–49,2015–2016,6399,TAS
45–49,2015–2016,24085,VIC
45–49,2015–2016,18883,WA
45–49,2016-2017,2292,ACT
45–49,2016-2017,27261,NSW
45–49,2016-2017,1035,NT
45–49,2016-2017,55821,QLD
45–49,2016-2017,12041,SA
45–49,2016-2017,6711,TAS
45–49,2016-2017,24348,VIC
45–49,2016-2017,18369,WA
50–54,2008–2009,5268,ACT
50–54,2008–2009,114036,NSW
50–54,2008–2009,2489,NT
50–54,2008–2009,78010,QLD
50–54,2008–2009,31006,SA
50–54,2008–2009,9095,TAS
