NUM_WOMEN,AGE GROUP (YEARS),Period,STATE
12527,40–44,2008–2009,ACT
245165,40–44,2008–2009,NSW
7973,40–44,2008–2009,NT
154344,40–44,2008–2009,QLD
56563,40–44,2008–2009,SA
17177,40–44,2008–2009,TAS
193244,40–44,2008–2009,VIC
79396,40–44,2008–2009,WA
12607,40–44,2009–2010,ACT
246177,40–44,2009–2010,NSW
8144,40–44,2009–2010,NT
156586,40–44,2009–2010,QLD
56678,40–44,2009–2010,SA
17214,40–44,2009–2010,TAS
196326,40–44,2009–2010,VIC
80736,40–44,2009–2010,WA
13029,40–44,2010–2011,ACT
249318,40–44,2010–2011,NSW
8440,40–44,2010–2011,NT
158890,40–44,2010–2011,QLD
56773,40–44,2010–2011,SA
17440,40–44,2010–2011,TAS
200228,40–44,2010–2011,VIC
84050,40–44,2010–2011,WA
13499,40–44,2011–2012,ACT
256800,40–44,2011–2012,NSW
8668,40–44,2011–2012,NT
164296,40–44,2011–2012,QLD
57646,40–44,2011–2012,SA
17766,40–44,2011–2012,TAS
206378,40–44,2011–2012,VIC
87435,40–44,2011–2012,WA
13992,40–44,2012–2013,ACT
262892,40–44,2012–2013,NSW
8798,40–44,2012–2013,NT
169302,40–44,2012–2013,QLD
58152,40–44,2012–2013,SA
17840,40–44,2012–2013,TAS
210674,40–44,2012–2013,VIC
90188,40–44,2012–2013,WA
14128,40–44,2013–2014,ACT
266278,40–44,2013–2014,NSW
8836,40–44,2013–2014,NT
171502,40–44,2013–2014,QLD
57812,40–44,2013–2014,SA
17630,40–44,2013–2014,TAS
212452,40–44,2013–2014,VIC
91021,40–44,2013–2014,WA
14224,40–44,2014–2015,ACT
266442,40–44,2014–2015,NSW
8730,40–44,2014–2015,NT
171313,40–44,2014–2015,QLD
56792,40–44,2014–2015,SA
17272,40–44,2014–2015,TAS
212244,40–44,2014–2015,VIC
90880,40–44,2014–2015,WA
14272,40–44,2015–2016,ACT
263542,40–44,2015–2016,NSW
8588,40–44,2015–2016,NT
169792,40–44,2015–2016,QLD
55017,40–44,2015–2016,SA
16794,40–44,2015–2016,TAS
212434,40–44,2015–2016,VIC
88209,40–44,2015–2016,WA
14124,40–44,2016–2017,ACT
258693,40–44,2016–2017,NSW
8449,40–44,2016–2017,NT
166768,40–44,2016–2017,QLD
53371,40–44,2016–2017,SA
16090,40–44,2016–2017,TAS
209244,40–44,2016–2017,VIC
86106,40–44,2016–2017,WA
12781,45–49,2008–2009,ACT
256621,45–49,2008–2009,NSW
7710,45–49,2008–2009,NT
158695,45–49,2008–2009,QLD
59642,45–49,2008–2009,SA
19153,45–49,2008–2009,TAS
193884,45–49,2008–2009,VIC
80442,45–49,2008–2009,WA
12745,45–49,2009–2010,ACT
257202,45–49,2009–2010,NSW
7764,45–49,2009–2010,NT
160555,45–49,2009–2010,QLD
59416,45–49,2009–2010,SA
19018,45–49,2009–2010,TAS
195348,45–49,2009–2010,VIC
81400,45–49,2009–2010,WA
12806,45–49,2010–2011,ACT
253216,45–49,2010–2011,NSW
7729,45–49,2010–2011,NT
158152,45–49,2010–2011,QLD
58436,45–49,2010–2011,SA
18494,45–49,2010–2011,TAS
194035,45–49,2010–2011,VIC
82801,45–49,2010–2011,WA
12622,45–49,2011–2012,ACT
248156,45–49,2011–2012,NSW
7656,45–49,2011–2012,NT
156192,45–49,2011–2012,QLD
57272,45–49,2011–2012,SA
17880,45–49,2011–2012,TAS
192364,45–49,2011–2012,VIC
82668,45–49,2011–2012,WA
12640,45–49,2012–2013,ACT
245040,45–49,2012–2013,NSW
7660,45–49,2012–2013,NT
155814,45–49,2012–2013,QLD
56709,45–49,2012–2013,SA
17495,45–49,2012–2013,TAS
192764,45–49,2012–2013,VIC
83536,45–49,2012–2013,WA
12699,45–49,2013–2014,ACT
244302,45–49,2013–2014,NSW
7709,45–49,2013–2014,NT
156562,45–49,2013–2014,QLD
56630,45–49,2013–2014,SA
17326,45–49,2013–2014,TAS
195127,45–49,2013–2014,VIC
84627,45–49,2013–2014,WA
12856,45–49,2014–2015,ACT
246014,45–49,2014–2015,NSW
7852,45–49,2014–2015,NT
158580,45–49,2014–2015,QLD
56771,45–49,2014–2015,SA
17301,45–49,2014–2015,TAS
198655,45–49,2014–2015,VIC
85715,45–49,2014–2015,WA
13072,45–49,2015–2016,ACT
252808,45–49,2015–2016,NSW
8324,45–49,2015–2016,NT
164822,45–49,2015–2016,QLD
57482,45–49,2015–2016,SA
17577,45–49,2015–2016,TAS
207548,45–49,2015–2016,VIC
86415,45–49,2015–2016,WA
13478,45–49,2016–2017,ACT
259990,45–49,2016–2017,NSW
8444,45–49,2016–2017,NT
169946,45–49,2016–2017,QLD
58094,45–49,2016–2017,SA
17891,45–49,2016–2017,TAS
214146,45–49,2016–2017,VIC
88038,45–49,2016–2017,WA
11889,50–54,2008–2009,ACT
233741,50–54,2008–2009,NSW
6871,50–54,2008–2009,NT
142728,50–54,2008–2009,QLD
55943,50–54,2008–2009,SA
18013,50–54,2008–2009,TAS
176515,50–54,2008–2009,VIC
73527,50–54,2008–2009,WA
12056,50–54,2009–2010,ACT
238553,50–54,2009–2010,NSW
6991,50–54,2009–2010,NT
146314,50–54,2009–2010,QLD
56910,50–54,2009–2010,SA
18350,50–54,2009–2010,TAS
180670,50–54,2009–2010,VIC
75206,50–54,2009–2010,WA
12150,50–54,2010–2011,ACT
242312,50–54,2010–2011,NSW
7114,50–54,2010–2011,NT
147710,50–54,2010–2011,QLD
57262,50–54,2010–2011,SA
18787,50–54,2010–2011,TAS
182982,50–54,2010–2011,VIC
77783,50–54,2010–2011,WA
12332,50–54,2011–2012,ACT
247198,50–54,2011–2012,NSW
7267,50–54,2011–2012,NT
151776,50–54,2011–2012,QLD
58033,50–54,2011–2012,SA
19046,50–54,2011–2012,TAS
186646,50–54,2011–2012,VIC
79784,50–54,2011–2012,WA
12474,50–54,2012–2013,ACT
250795,50–54,2012–2013,NSW
7356,50–54,2012–2013,NT
155692,50–54,2012–2013,QLD
58610,50–54,2012–2013,SA
19118,50–54,2012–2013,TAS
190083,50–54,2012–2013,VIC
81958,50–54,2012–2013,WA
12486,50–54,2013–2014,ACT
253328,50–54,2013–2014,NSW
7362,50–54,2013–2014,NT
158095,50–54,2013–2014,QLD
58773,50–54,2013–2014,SA
19080,50–54,2013–2014,TAS
192722,50–54,2013–2014,VIC
83284,50–54,2013–2014,WA
12504,50–54,2014–2015,ACT
253976,50–54,2014–2015,NSW
7323,50–54,2014–2015,NT
159084,50–54,2014–2015,QLD
58546,50–54,2014–2015,SA
18869,50–54,2014–2015,TAS
194334,50–54,2014–2015,VIC
83828,50–54,2014–2015,WA
12427,50–54,2015–2016,ACT
252131,50–54,2015–2016,NSW
7569,50–54,2015–2016,NT
160116,50–54,2015–2016,QLD
58004,50–54,2015–2016,SA
18558,50–54,2015–2016,TAS
197431,50–54,2015–2016,VIC
82770,50–54,2015–2016,WA
12355,50–54,2016–2017,ACT
249298,50–54,2016–2017,NSW
7562,50–54,2016–2017,NT
159682,50–54,2016–2017,QLD
57230,50–54,2016–2017,SA
18090,50–54,2016–2017,TAS
198178,50–54,2016–2017,VIC
82387,50–54,2016–2017,WA
10658,55–59,2008–2009,ACT
211343,55–59,2008–2009,NSW
5547,55–59,2008–2009,NT
130068,55–59,2008–2009,QLD
52602,55–59,2008–2009,SA
16995,55–59,2008–2009,TAS
160272,55–59,2008–2009,VIC
65711,55–59,2008–2009,WA
10759,55–59,2009–2010,ACT
215021,55–59,2009–2010,NSW
5775,55–59,2009–2010,NT
132124,55–59,2009–2010,QLD
53040,55–59,2009–2010,SA
17224,55–59,2009–2010,TAS
163036,55–59,2009–2010,VIC
67092,55–59,2009–2010,WA
10686,55–59,2010–2011,ACT
217039,55–59,2010–2011,NSW
5882,55–59,2010–2011,NT
131671,55–59,2010–2011,QLD
52654,55–59,2010–2011,SA
17378,55–59,2010–2011,TAS
164010,55–59,2010–2011,VIC
69396,55–59,2010–2011,WA
10724,55–59,2011–2012,ACT
