AGE GROUP (YEARS),NUM_WOMEN,Period,Screen,STATE
40–44,30,2009,1,ACT
40–44,595,2009,1,NSW
40–44,14,2009,1,NT
40–44,1268,2009,1,QLD
40–44,59,2009,1,SA
40–44,131,2009,1,TAS
40–44,444,2009,1,VIC
40–44,322,2009,1,WA
40–44,0,2009,2+,ACT
40–44,73,2009,2+,NSW
40–44,5,2009,2+,NT
40–44,539,2009,2+,QLD
40–44,24,2009,2+,SA
40–44,58,2009,2+,TAS
40–44,63,2009,2+,VIC
40–44,74,2009,2+,WA
40–44,34,2010,1,ACT
40–44,8,2010,1,NT
40–44,1177,2010,1,QLD
40–44,59,2010,1,SA
40–44,87,2010,1,TAS
40–44,456,2010,1,VIC
40–44,256,2010,1,WA
40–44,4,2010,2+,ACT
40–44,4,2010,2+,NT
40–44,534,2010,2+,QLD
40–44,23,2010,2+,SA
40–44,40,2010,2+,TAS
40–44,52,2010,2+,VIC
40–44,70,2010,2+,WA
40–44,40,2011,1,ACT
40–44,661,2011,1,NSW
40–44,13,2011,1,NT
40–44,1102,2011,1,QLD
40–44,60,2011,1,SA
40–44,100,2011,1,TAS
40–44,472,2011,1,VIC
40–44,229,2011,1,WA
40–44,4,2011,2+,ACT
40–44,78,2011,2+,NSW
40–44,3,2011,2+,NT
40–44,423,2011,2+,QLD
40–44,16,2011,2+,SA
40–44,38,2011,2+,TAS
40–44,66,2011,2+,VIC
40–44,46,2011,2+,WA
40–44,44,2012,1,ACT
40–44,720,2012,1,NSW
40–44,8,2012,1,NT
40–44,975,2012,1,QLD
40–44,92,2012,1,SA
40–44,102,2012,1,TAS
40–44,698,2012,1,VIC
40–44,236,2012,1,WA
40–44,5,2012,2+,ACT
40–44,114,2012,2+,NSW
40–44,3,2012,2+,NT
40–44,358,2012,2+,QLD
40–44,21,2012,2+,SA
40–44,47,2012,2+,TAS
40–44,51,2012,2+,VIC
40–44,68,2012,2+,WA
40–44,12,2013,1,ACT
40–44,995,2013,1,NSW
40–44,55,2013,1,NT
40–44,1195,2013,1,QLD
40–44,255,2013,1,SA
40–44,127,2013,1,TAS
40–44,972,2013,1,VIC
40–44,286,2013,1,WA
40–44,42,2013,2+,ACT
40–44,106,2013,2+,NSW
40–44,1,2013,2+,NT
40–44,389,2013,2+,QLD
40–44,47,2013,2+,SA
40–44,60,2013,2+,TAS
40–44,67,2013,2+,VIC
40–44,57,2013,2+,WA
40–44,45,2014,1,ACT
40–44,957,2014,1,NSW
40–44,33,2014,1,NT
40–44,1134,2014,1,QLD
40–44,141,2014,1,SA
40–44,133,2014,1,TAS
40–44,928,2014,1,VIC
40–44,270,2014,1,WA
40–44,5,2014,2+,ACT
40–44,112,2014,2+,NSW
40–44,1,2014,2+,NT
40–44,379,2014,2+,QLD
40–44,52,2014,2+,SA
40–44,43,2014,2+,TAS
40–44,79,2014,2+,VIC
40–44,71,2014,2+,WA
40–44,50,2015,1,ACT
40–44,761,2015,1,NSW
40–44,25,2015,1,NT
40–44,991,2015,1,QLD
40–44,125,2015,1,SA
40–44,96,2015,1,TAS
40–44,663,2015,1,VIC
40–44,270,2015,1,WA
40–44,5,2015,2+,ACT
40–44,132,2015,2+,NSW
40–44,8,2015,2+,NT
40–44,408,2015,2+,QLD
40–44,86,2015,2+,SA
40–44,51,2015,2+,TAS
40–44,103,2015,2+,VIC
40–44,97,2015,2+,WA
40–44,43,2016,1,ACT
40–44,717,2016,1,NSW
40–44,15,2016,1,NT
40–44,901,2016,1,QLD
40–44,151,2016,1,SA
40–44,61,2016,1,TAS
40–44,447,2016,1,VIC
40–44,242,2016,1,WA
40–44,9,2016,2+,ACT
40–44,95,2016,2+,NSW
40–44,7,2016,2+,NT
40–44,471,2016,2+,QLD
40–44,74,2016,2+,SA
40–44,40,2016,2+,TAS
40–44,117,2016,2+,VIC
40–44,68,2016,2+,WA
40–44,42,2017,1,ACT
40–44,633,2017,1,NSW
40–44,19,2017,1,NT
40–44,952,2017,1,QLD
40–44,193,2017,1,SA
40–44,54,2017,1,TAS
40–44,515,2017,1,VIC
40–44,246,2017,1,WA
40–44,9,2017,2+,ACT
40–44,71,2017,2+,NSW
40–44,6,2017,2+,NT
40–44,397,2017,2+,QLD
40–44,77,2017,2+,SA
40–44,35,2017,2+,TAS
40–44,95,2017,2+,VIC
40–44,81,2017,2+,WA
45–49,57,2009,1,ACT
45–49,829,2009,1,NSW
45–49,32,2009,1,NT
45–49,962,2009,1,QLD
45–49,85,2009,1,SA
45–49,133,2009,1,TAS
45–49,626,2009,1,VIC
45–49,375,2009,1,WA
45–49,6,2009,2+,ACT
45–49,454,2009,2+,NSW
45–49,20,2009,2+,NT
45–49,1623,2009,2+,QLD
45–49,113,2009,2+,SA
45–49,152,2009,2+,TAS
45–49,318,2009,2+,VIC
45–49,287,2009,2+,WA
45–49,53,2010,1,ACT
45–49,20,2010,1,NT
45–49,848,2010,1,QLD
45–49,85,2010,1,SA
45–49,81,2010,1,TAS
45–49,647,2010,1,VIC
45–49,281,2010,1,WA
45–49,14,2010,2+,ACT
45–49,19,2010,2+,NT
45–49,1635,2010,2+,QLD
45–49,104,2010,2+,SA
45–49,138,2010,2+,TAS
45–49,373,2010,2+,VIC
45–49,296,2010,2+,WA
45–49,47,2011,1,ACT
45–49,771,2011,1,NSW
45–49,17,2011,1,NT
45–49,721,2011,1,QLD
45–49,75,2011,1,SA
45–49,81,2011,1,TAS
45–49,577,2011,1,VIC
45–49,263,2011,1,WA
45–49,15,2011,2+,ACT
45–49,401,2011,2+,NSW
45–49,13,2011,2+,NT
45–49,1432,2011,2+,QLD
45–49,82,2011,2+,SA
45–49,114,2011,2+,TAS
45–49,364,2011,2+,VIC
45–49,227,2011,2+,WA
45–49,50,2012,1,ACT
45–49,812,2012,1,NSW
45–49,24,2012,1,NT
45–49,649,2012,1,QLD
45–49,116,2012,1,SA
45–49,87,2012,1,TAS
45–49,815,2012,1,VIC
45–49,273,2012,1,WA
45–49,14,2012,2+,ACT
45–49,422,2012,2+,NSW
45–49,14,2012,2+,NT
45–49,1140,2012,2+,QLD
45–49,88,2012,2+,SA
45–49,113,2012,2+,TAS
45–49,371,2012,2+,VIC
45–49,209,2012,2+,WA
45–49,10,2013,1,ACT
45–49,999,2013,1,NSW
45–49,78,2013,1,NT
45–49,772,2013,1,QLD
45–49,274,2013,1,SA
45–49,72,2013,1,TAS
45–49,1118,2013,1,VIC
45–49,346,2013,1,WA
45–49,53,2013,2+,ACT
45–49,412,2013,2+,NSW
45–49,10,2013,2+,NT
45–49,1266,2013,2+,QLD
