AGE GROUP (YEARS),NUM_WOMEN,Period,Screen,STATE
40–44,3,2006,1,ACT
40–44,782,2006,1,NSW
40–44,61,2006,1,NT
40–44,7429,2006,1,QLD
40–44,948,2006,1,SA
40–44,800,2006,1,TAS
40–44,628,2006,1,VIC
40–44,1472,2006,1,WA
40–44,3,2006,2,ACT
40–44,405,2006,2,NSW
40–44,48,2006,2,NT
40–44,4540,2006,2,QLD
40–44,466,2006,2,SA
40–44,367,2006,2,TAS
40–44,295,2006,2,VIC
40–44,816,2006,2,WA
40–44,7,2006,3+,ACT
40–44,213,2006,3+,NSW
40–44,24,2006,3+,NT
40–44,1893,2006,3+,QLD
40–44,237,2006,3+,SA
40–44,117,2006,3+,TAS
40–44,54,2006,3+,VIC
40–44,338,2006,3+,WA
40–44,63,2007,1,ACT
40–44,962,2007,1,NSW
40–44,60,2007,1,NT
40–44,7431,2007,1,QLD
40–44,990,2007,1,SA
40–44,746,2007,1,TAS
40–44,549,2007,1,VIC
40–44,1405,2007,1,WA
40–44,20,2007,2,ACT
40–44,380,2007,2,NSW
40–44,42,2007,2,NT
40–44,5015,2007,2,QLD
40–44,679,2007,2,SA
40–44,503,2007,2,TAS
40–44,292,2007,2,VIC
40–44,929,2007,2,WA
40–44,14,2007,3+,ACT
40–44,135,2007,3+,NSW
40–44,23,2007,3+,NT
40–44,1916,2007,3+,QLD
40–44,204,2007,3+,SA
40–44,112,2007,3+,TAS
40–44,54,2007,3+,VIC
40–44,328,2007,3+,WA
40–44,93,2008,1,ACT
40–44,1041,2008,1,NSW
40–44,39,2008,1,NT
40–44,7014,2008,1,QLD
40–44,991,2008,1,SA
40–44,869,2008,1,TAS
40–44,621,2008,1,VIC
40–44,1592,2008,1,WA
40–44,14,2008,2,ACT
40–44,411,2008,2,NSW
40–44,28,2008,2,NT
40–44,5110,2008,2,QLD
40–44,610,2008,2,SA
40–44,579,2008,2,TAS
40–44,311,2008,2,VIC
40–44,780,2008,2,WA
40–44,7,2008,3+,ACT
40–44,107,2008,3+,NSW
40–44,14,2008,3+,NT
40–44,1922,2008,3+,QLD
40–44,183,2008,3+,SA
40–44,149,2008,3+,TAS
40–44,64,2008,3+,VIC
40–44,319,2008,3+,WA
40–44,84,2009,1,ACT
40–44,1103,2009,1,NSW
40–44,50,2009,1,NT
40–44,6706,2009,1,QLD
40–44,875,2009,1,SA
40–44,791,2009,1,TAS
40–44,624,2009,1,VIC
40–44,1596,2009,1,WA
40–44,8,2009,2,ACT
40–44,489,2009,2,NSW
40–44,26,2009,2,NT
40–44,4935,2009,2,QLD
40–44,571,2009,2,SA
40–44,540,2009,2,TAS
40–44,311,2009,2,VIC
40–44,938,2009,2,WA
40–44,4,2009,3+,ACT
40–44,122,2009,3+,NSW
40–44,24,2009,3+,NT
40–44,2148,2009,3+,QLD
40–44,207,2009,3+,SA
40–44,190,2009,3+,TAS
40–44,81,2009,3+,VIC
40–44,373,2009,3+,WA
40–44,79,2010,1,ACT
40–44,1032,2010,1,NSW
40–44,44,2010,1,NT
40–44,6056,2010,1,QLD
40–44,759,2010,1,SA
40–44,791,2010,1,TAS
40–44,671,2010,1,VIC
40–44,1484,2010,1,WA
40–44,21,2010,2,ACT
40–44,480,2010,2,NSW
40–44,16,2010,2,NT
40–44,4479,2010,2,QLD
40–44,570,2010,2,SA
40–44,527,2010,2,TAS
40–44,346,2010,2,VIC
40–44,993,2010,2,WA
40–44,2,2010,3+,ACT
40–44,134,2010,3+,NSW
40–44,19,2010,3+,NT
40–44,2060,2010,3+,QLD
40–44,194,2010,3+,SA
40–44,224,2010,3+,TAS
40–44,74,2010,3+,VIC
40–44,327,2010,3+,WA
40–44,79,2011,1,ACT
40–44,1151,2011,1,NSW
40–44,46,2011,1,NT
40–44,6267,2011,1,QLD
40–44,705,2011,1,SA
40–44,792,2011,1,TAS
40–44,774,2011,1,VIC
40–44,1692,2011,1,WA
40–44,41,2011,2,ACT
40–44,545,2011,2,NSW
40–44,28,2011,2,NT
40–44,4724,2011,2,QLD
40–44,432,2011,2,SA
40–44,496,2011,2,TAS
40–44,301,2011,2,VIC
40–44,912,2011,2,WA
40–44,3,2011,3+,ACT
40–44,171,2011,3+,NSW
40–44,7,2011,3+,NT
40–44,2099,2011,3+,QLD
40–44,175,2011,3+,SA
40–44,214,2011,3+,TAS
40–44,63,2011,3+,VIC
40–44,346,2011,3+,WA
40–44,102,2012,1,ACT
40–44,1231,2012,1,NSW
40–44,28,2012,1,NT
40–44,6666,2012,1,QLD
40–44,964,2012,1,SA
40–44,726,2012,1,TAS
40–44,1066,2012,1,VIC
40–44,1488,2012,1,WA
40–44,37,2012,2,ACT
40–44,502,2012,2,NSW
40–44,18,2012,2,NT
40–44,4229,2012,2,QLD
40–44,491,2012,2,SA
40–44,421,2012,2,TAS
40–44,335,2012,2,VIC
40–44,738,2012,2,WA
40–44,10,2012,3+,ACT
40–44,172,2012,3+,NSW
40–44,9,2012,3+,NT
40–44,2026,2012,3+,QLD
40–44,220,2012,3+,SA
40–44,218,2012,3+,TAS
40–44,51,2012,3+,VIC
40–44,369,2012,3+,WA
40–44,102,2013,1,ACT
40–44,1419,2013,1,NSW
40–44,237,2013,1,NT
40–44,8226,2013,1,QLD
40–44,1242,2013,1,SA
40–44,867,2013,1,TAS
40–44,1470,2013,1,VIC
40–44,2044,2013,1,WA
40–44,39,2013,2,ACT
40–44,533,2013,2,NSW
40–44,15,2013,2,NT
40–44,4336,2013,2,QLD
40–44,455,2013,2,SA
40–44,456,2013,2,TAS
40–44,363,2013,2,VIC
40–44,873,2013,2,WA
40–44,7,2013,3+,ACT
40–44,191,2013,3+,NSW
40–44,10,2013,3+,NT
40–44,2056,2013,3+,QLD
40–44,162,2013,3+,SA
40–44,191,2013,3+,TAS
40–44,81,2013,3+,VIC
40–44,304,2013,3+,WA
40–44,91,2014,1,ACT
40–44,1263,2014,1,NSW
40–44,100,2014,1,NT
40–44,7618,2014,1,QLD
40–44,1068,2014,1,SA
40–44,874,2014,1,TAS
40–44,1141,2014,1,VIC
40–44,1736,2014,1,WA
40–44,56,2014,2,ACT
40–44,586,2014,2,NSW
40–44,20,2014,2,NT
40–44,4453,2014,2,QLD
40–44,713,2014,2,SA
40–44,458,2014,2,TAS
40–44,458,2014,2,VIC
40–44,783,2014,2,WA
40–44,16,2014,3+,ACT
40–44,175,2014,3+,NSW
40–44,8,2014,3+,NT
40–44,1815,2014,3+,QLD
40–44,192,2014,3+,SA
40–44,149,2014,3+,TAS
40–44,75,2014,3+,VIC
40–44,316,2014,3+,WA
40–44,78,2015,1,ACT
40–44,1085,2015,1,NSW
40–44,78,2015,1,NT
40–44,6752,2015,1,QLD
40–44,1066,2015,1,SA
40–44,773,2015,1,TAS
40–44,847,2015,1,VIC
40–44,1550,2015,1,WA
40–44,48,2015,2,ACT
40–44,628,2015,2,NSW
40–44,84,2015,2,NT
40–44,4943,2015,2,QLD
40–44,827,2015,2,SA
40–44,591,2015,2,TAS
40–44,555,2015,2,VIC
40–44,1042,2015,2,WA
40–44,19,2015,3+,ACT
40–44,186,2015,3+,NSW
40–44,12,2015,3+,NT
40–44,1834,2015,3+,QLD
40–44,213,2015,3+,SA
40–44,216,2015,3+,TAS
40–44,93,2015,3+,VIC
40–44,338,2015,3+,WA
45–49,13,2006,1,ACT
45–49,1508,2006,1,NSW
45–49,87,2006,1,NT
45–49,3906,2006,1,QLD
45–49,941,2006,1,SA
45–49,598,2006,1,TAS
45–49,1658,2006,1,VIC
45–49,1604,2006,1,WA
45–49,14,2006,2,ACT
45–49,1081,2006,2,NSW
45–49,68,2006,2,NT
45–49,4454,2006,2,QLD
45–49,880,2006,2,SA
45–49,545,2006,2,TAS
45–49,1285,2006,2,VIC
45–49,1527,2006,2,WA
45–49,337,2006,3+,ACT
45–49,3313,2006,3+,NSW
45–49,160,2006,3+,NT
45–49,12705,2006,3+,QLD
45–49,1947,2006,3+,SA
45–49,968,2006,3+,TAS
45–49,1155,2006,3+,VIC
45–49,2723,2006,3+,WA
45–49,172,2007,1,ACT
45–49,2017,2007,1,NSW
45–49,114,2007,1,NT
45–49,4204,2007,1,QLD
45–49,1073,2007,1,SA
45–49,595,2007,1,TAS
45–49,1435,2007,1,VIC
45–49,1561,2007,1,WA
45–49,62,2007,2,ACT
45–49,1149,2007,2,NSW
45–49,77,2007,2,NT
45–49,5082,2007,2,QLD
45–49,1085,2007,2,SA
45–49,745,2007,2,TAS
45–49,1278,2007,2,VIC
45–49,1601,2007,2,WA
45–49,420,2007,3+,ACT
45–49,2980,2007,3+,NSW
45–49,193,2007,3+,NT
45–49,12917,2007,3+,QLD
45–49,2150,2007,3+,SA
45–49,1097,2007,3+,TAS
45–49,1141,2007,3+,VIC
45–49,2504,2007,3+,WA
45–49,270,2008,1,ACT
45–49,2399,2008,1,NSW
45–49,89,2008,1,NT
45–49,4065,2008,1,QLD
45–49,1026,2008,1,SA
45–49,627,2008,1,TAS
45–49,1587,2008,1,VIC
45–49,1882,2008,1,WA
45–49,56,2008,2,ACT
45–49,1803,2008,2,NSW
45–49,72,2008,2,NT
45–49,5134,2008,2,QLD
45–49,1146,2008,2,SA
45–49,879,2008,2,TAS
45–49,1301,2008,2,VIC
45–49,1532,2008,2,WA
45–49,216,2008,3+,ACT
45–49,2610,2008,3+,NSW
45–49,162,2008,3+,NT
45–49,13817,2008,3+,QLD
45–49,2030,2008,3+,SA
45–49,1268,2008,3+,TAS
45–49,1238,2008,3+,VIC
45–49,2708,2008,3+,WA
45–49,266,2009,1,ACT
45–49,2442,2009,1,NSW
45–49,102,2009,1,NT
45–49,3798,2009,1,QLD
45–49,902,2009,1,SA
45–49,586,2009,1,TAS
45–49,1809,2009,1,VIC
45–49,1939,2009,1,WA
45–49,36,2009,2,ACT
45–49,1836,2009,2,NSW
45–49,97,2009,2,NT
45–49,5241,2009,2,QLD
45–49,1044,2009,2,SA
45–49,742,2009,2,TAS
45–49,1511,2009,2,VIC
45–49,1760,2009,2,WA
45–49,103,2009,3+,ACT
45–49,2388,2009,3+,NSW
45–49,161,2009,3+,NT
45–49,14853,2009,3+,QLD
45–49,2273,2009,3+,SA
45–49,1541,2009,3+,TAS
45–49,1314,2009,3+,VIC
45–49,3202,2009,3+,WA
45–49,253,2010,1,ACT
45–49,2297,2010,1,NSW
45–49,78,2010,1,NT
45–49,3235,2010,1,QLD
45–49,878,2010,1,SA
45–49,574,2010,1,TAS
45–49,1793,2010,1,VIC
45–49,1650,2010,1,WA
45–49,73,2010,2,ACT
45–49,1714,2010,2,NSW
45–49,49,2010,2,NT
45–49,4621,2010,2,QLD
45–49,955,2010,2,SA
45–49,637,2010,2,TAS
45–49,1691,2010,2,VIC
45–49,1853,2010,2,WA
45–49,44,2010,3+,ACT
45–49,2325,2010,3+,NSW
45–49,138,2010,3+,NT
45–49,14476,2010,3+,QLD
45–49,2053,2010,3+,SA
45–49,1719,2010,3+,TAS
45–49,1466,2010,3+,VIC
45–49,3232,2010,3+,WA
45–49,223,2011,1,ACT
45–49,2403,2011,1,NSW
45–49,72,2011,1,NT
45–49,3230,2011,1,QLD
45–49,670,2011,1,SA
45–49,483,2011,1,TAS
45–49,1807,2011,1,VIC
45–49,1792,2011,1,WA
45–49,122,2011,2,ACT
45–49,1770,2011,2,NSW
45–49,56,2011,2,NT
45–49,4619,2011,2,QLD
45–49,661,2011,2,SA
45–49,576,2011,2,TAS
45–49,1869,2011,2,VIC
45–49,1833,2011,2,WA
45–49,25,2011,3+,ACT
45–49,2129,2011,3+,NSW
45–49,138,2011,3+,NT
45–49,15571,2011,3+,QLD
45–49,1804,2011,3+,SA
45–49,1567,2011,3+,TAS
45–49,1545,2011,3+,VIC
45–49,3262,2011,3+,WA
45–49,228,2012,1,ACT
45–49,2470,2012,1,NSW
45–49,76,2012,1,NT
45–49,3353,2012,1,QLD
45–49,920,2012,1,SA
45–49,439,2012,1,TAS
45–49,2476,2012,1,VIC
45–49,1528,2012,1,WA
45–49,156,2012,2,ACT
45–49,1777,2012,2,NSW
45–49,40,2012,2,NT
45–49,4122,2012,2,QLD
45–49,780,2012,2,SA
45–49,503,2012,2,TAS
45–49,2185,2012,2,VIC
45–49,1353,2012,2,WA
45–49,47,2012,3+,ACT
45–49,1962,2012,3+,NSW
45–49,85,2012,3+,NT
45–49,14579,2012,3+,QLD
45–49,1946,2012,3+,SA
45–49,1648,2012,3+,TAS
45–49,1524,2012,3+,VIC
45–49,3003,2012,3+,WA
45–49,230,2013,1,ACT
45–49,2860,2013,1,NSW
45–49,265,2013,1,NT
45–49,4286,2013,1,QLD
45–49,1189,2013,1,SA
45–49,485,2013,1,TAS
45–49,3232,2013,1,VIC
45–49,1832,2013,1,WA
45–49,195,2013,2,ACT
45–49,1918,2013,2,NSW
45–49,36,2013,2,NT
45–49,4017,2013,2,QLD
45–49,689,2013,2,SA
45–49,479,2013,2,TAS
45–49,1451,2013,2,VIC
45–49,1459,2013,2,WA
45–49,96,2013,3+,ACT
45–49,1987,2013,3+,NSW
45–49,90,2013,3+,NT
45–49,15177,2013,3+,QLD
45–49,1679,2013,3+,SA
45–49,1509,2013,3+,TAS
45–49,1412,2013,3+,VIC
45–49,3001,2013,3+,WA
45–49,215,2014,1,ACT
45–49,2602,2014,1,NSW
45–49,119,2014,1,NT
45–49,4002,2014,1,QLD
45–49,1048,2014,1,SA
45–49,477,2014,1,TAS
45–49,2638,2014,1,VIC
45–49,1706,2014,1,WA
45–49,179,2014,2,ACT
45–49,1677,2014,2,NSW
45–49,45,2014,2,NT
45–49,4161,2014,2,QLD
45–49,1170,2014,2,SA
45–49,482,2014,2,TAS
45–49,1569,2014,2,VIC
45–49,1424,2014,2,WA
45–49,134,2014,3+,ACT
45–49,1876,2014,3+,NSW
45–49,57,2014,3+,NT
45–49,13858,2014,3+,QLD
45–49,2210,2014,3+,SA
45–49,1380,2014,3+,TAS
45–49,1509,2014,3+,VIC
45–49,2757,2014,3+,WA
45–49,167,2015,1,ACT
45–49,2279,2015,1,NSW
45–49,97,2015,1,NT
45–49,3731,2015,1,QLD
45–49,1104,2015,1,SA
45–49,422,2015,1,TAS
45–49,2178,2015,1,VIC
45–49,1581,2015,1,WA
45–49,141,2015,2,ACT
45–49,1734,2015,2,NSW
45–49,184,2015,2,NT
45–49,4793,2015,2,QLD
45–49,1493,2015,2,SA
45–49,604,2015,2,TAS
45–49,1930,2015,2,VIC
45–49,1815,2015,2,WA
45–49,109,2015,3+,ACT
45–49,1954,2015,3+,NSW
45–49,79,2015,3+,NT
45–49,13316,2015,3+,QLD
45–49,1940,2015,3+,SA
45–49,1487,2015,3+,TAS
45–49,1515,2015,3+,VIC
45–49,2997,2015,3+,WA
50–54,681,2006,1,ACT
50–54,6771,2006,1,NSW
50–54,203,2006,1,NT
50–54,3898,2006,1,QLD
50–54,1589,2006,1,SA
